time,dt,Fs_vertical_av,L2FsVertDiffusion,L2FsVertFluid,L2FsVertFrame,L1FsVertDiffusion,L1FsVertFluid,L1FsVertFrame,L0FsVertDiffusion,L0FsVertFluid,L0FsVertFrame,Fs_top,Fs_bottom,Fs_sponge,Fh_bottom,Fh_top,dUdt,dSdt,dTdt,chimneySpacing,chimneyWidth,horizontallyAveragedSalinity_0,horizontallyAveragedSalinity_20,horizontallyAveragedSalinity_40,horizontallyAveragedSalinity_60,averageLiquidSalinity,mushyLayerDepth,Nusselt,Fh_abs_mismatch,Fs_abs_mismatch,Fh_rel_mismatch,Fs_rel_mismatch,LambdaMax,LambdaSum,maxVel
time,dt,Fs_vertical_av,L2FsVertDiffusion,L2FsVertFluid,L2FsVertFrame,L1FsVertDiffusion,L1FsVertFluid,L1FsVertFrame,L0FsVertDiffusion,L0FsVertFluid,L0FsVertFrame,Fs_top,Fs_bottom,Fs_sponge,Fh_bottom,Fh_top,dUdt,dSdt,dTdt,chimneySpacing,chimneyWidth,horizontallyAveragedSalinity_0,horizontallyAveragedSalinity_20,horizontallyAveragedSalinity_40,horizontallyAveragedSalinity_60,averageLiquidSalinity,mushyLayerDepth,Nusselt,Fh_abs_mismatch,Fs_abs_mismatch,Fh_rel_mismatch,Fs_rel_mismatch,LambdaMax,LambdaSum,maxVel
2e-06,2.1e-06,-1.474477865e-07,0.01440075493,0,0,0.001800241814,0,0,0.1152060391,0,0,-0.2303932056,0,nan,0,138.5211624,0,0.219425336,21.80455704,nan,nan,-1,-1,-1,-1,-0.9999997696,0.03125,nan,-2.274050898e-06,6.793270001e-12,-0.008208315823,-1.474277417e-05,0,0,0
4.1e-06,2.205e-06,-3.022502582e-07,0.01440154752,4.605595731e-13,0,0.00180049569,9.769814943e-14,0,0.1152123785,3.126340782e-12,0,-0.2303860723,0,nan,0,136.1877313,443.0822048,0.2194187037,21.44447794,nan,nan,-1,-1,-1,-1,-0.9999995277,0.03125,nan,-2.444714769e-06,7.492290206e-12,-0.008548126026,-1.54859936e-05,1.33226763e-15,2.185476209e-16,3.126388037e-12
6.305e-06,2.31525e-06,-4.647734299e-07,0.01440237964,2.833240192e-13,0,0.001800762228,6.572445975e-14,0,0.1152190333,1.64843536e-12,0,-0.2303785832,0,nan,0,133.8012136,644.483207,0.2194117407,21.07599154,nan,nan,-1,-1,-1,-1,-0.9999992737,0.03125,nan,-2.625079353e-06,8.254705791e-12,-0.008897618684,-1.624990783e-05,1.110223025e-15,2.154412023e-16,1.648459147e-12
8.62025e-06,2.4310125e-06,-6.354012136e-07,0.01440325325,4.289988971e-13,0,0.001801042058,9.14794692e-14,0,0.1152260189,2.927343015e-12,0,-0.2303707207,0,nan,0,131.3633999,566.2976026,0.2194044304,20.69935527,nan,nan,-1,-1,-1,-1,-0.999999007,0.03125,nan,-2.81527609e-06,9.103331237e-12,-0.009256540783,-1.706770672e-05,2.664535259e-15,4.613190424e-16,2.927436071e-12
1.10512625e-05,2.552563125e-06,-8.145367577e-07,0.01440417043,4.155322383e-13,0,0.00180133584,8.526512802e-14,0,0.1152333516,2.47268872e-12,0,-0.2303624661,0,nan,0,128.8763752,514.9741639,0.2193967556,20.31487172,nan,nan,-1,-1,-1,-1,-0.999998727,0.03125,nan,-3.015374724e-06,1.003105605e-11,-0.009624557811,-1.791215117e-05,3.774758284e-15,7.165562945e-16,2.47268872e-12
1.360382563e-05,2.680191281e-06,-5.799145147e-06,0.01442976215,4.951704696e-13,0,0.001809510598,1.06576062e-13,0,0.1154375005,3.410433984e-12,0,-0.2301327754,0,nan,0,127.8515419,434.1159297,0.2192931381,20.03007665,nan,nan,-1,-1,-1,-1,-0.9999999992,0.046875,nan,-1.125933252e-06,3.191205317e-10,-0.003450088092,-0.0005432500574,5.773159728e-15,1.060992956e-15,3.410605132e-12
1.628401691e-05,2.814200845e-06,-1.374714827e-05,0.01447074326,1.574003553e-13,0,0.001822539396,3.640679018e-14,0,0.1157626028,9.092218963e-13,0,-0.2297657727,0,nan,0,127.6476515,284.0453193,0.2189993535,19.94529631,nan,nan,-1,-1,-1,-1,-0.9999999975,0.046875,nan,-2.733028037e-07,4.919473779e-10,-0.0007988504202,-0.0007988542059,6.217248938e-15,1.136623863e-15,9.094947018e-13
1.909821775e-05,2.954910888e-06,-2.210071974e-05,0.01451400401,3.918807204e-13,0,0.001836220246,8.254286173e-14,0,0.1161034165,2.641371575e-12,0,-0.2293784073,0,nan,0,127.4324485,375.7213218,0.2186401352,19.91258062,nan,nan,-1,-1,-1,-1,-0.9999999943,0.046875,nan,-3.028934674e-07,5.452064138e-10,-0.0008446072207,-0.0008446043897,4.662936703e-15,9.088626701e-16,2.643218977e-12
2.205312864e-05,3.102656432e-06,-3.088515298e-05,0.01455971371,2.048106409e-13,0,0.00185059413,5.239357058e-14,0,0.1164609364,1.108446668e-12,0,-0.2289694494,0,nan,0,127.2052497,366.4177463,0.2182609387,19.87804542,nan,nan,-1,-1,-1,-1,-0.9999999892,0.046875,nan,-3.357700972e-07,6.043879002e-10,-0.0008932902493,-0.0008932927992,4.662936703e-15,9.066349322e-16,1.108446668e-12
2.515578507e-05,3.257789254e-06,-4.012319576e-05,0.01460802083,2.009930713e-13,0,0.001865696279,5.240252676e-14,0,0.1168359509,9.947598301e-13,0,-0.2285375855,0,nan,0,126.9653253,190.8425762,0.2178605529,19.84158041,nan,nan,-1,-1,-1,-1,-0.9999999821,0.046875,nan,-3.723102033e-07,6.701575702e-10,-0.0009451181891,-0.0009451170668,5.329070518e-15,1.095642339e-15,9.947598301e-13
2.841357432e-05,3.420678716e-06,-4.983883085e-05,0.01465908338,2.669295636e-13,0,0.00188156369,6.657721722e-14,0,0.1172292811,1.563193866e-12,0,-0.2280814117,0,nan,0,126.7118954,194.7373226,0.2174376839,19.80306775,nan,nan,-1,-1,-1,-1,-0.9999999727,0.046875,nan,-4.129364853e-07,7.432843896e-10,-0.001000329055,-0.001000327327,5.329070518e-15,1.153527199e-15,1.563194019e-12
3.183425304e-05,3.591712652e-06,-6.005734377e-05,0.01471306951,3.292415829e-13,0,0.001898235205,7.015707442e-14,0,0.1176417814,2.216604672e-12,0,-0.2275994262,0,nan,0,126.4441257,254.7040537,0.2169909481,19.76238143,nan,nan,-1,-1,-1,-1,-0.9999999606,0.046875,nan,-4.581225882e-07,8.246228629e-10,-0.001059182417,-0.001059185248,4.440892099e-15,8.939062221e-16,2.216893336e-12
3.542596569e-05,3.771298285e-06,-7.080539256e-05,0.01477015815,6.555348328e-13,0,0.001915751584,1.666787625e-13,0,0.1180743397,3.116827066e-12,0,-0.2270900223,0,nan,0,126.1611235,612.3259729,0.2165188653,19.71938664,nan,nan,-1,-1,-1,-1,-0.9999999454,0.046875,nan,-5.083995613e-07,9.151192012e-10,-0.001121961708,-0.001121961696,4.440892099e-15,9.058911355e-16,3.126388037e-12
3.919726398e-05,3.959863199e-06,-8.211108095e-05,0.01483053968,1.221341081e-13,0,0.001934155594,2.575395365e-14,0,0.1185278781,7.105427356e-13,0,-0.2265514793,0,nan,0,125.8619329,473.2629314,0.2160198511,19.67393908,nan,nan,-1,-1,-1,-1,-0.9999999269,0.046875,nan,-5.643630177e-07,1.015851186e-09,-0.001188976487,-0.001188973859,4.218847494e-15,8.341693407e-16,7.105427358e-13
4.315712718e-05,4.157856359e-06,-9.400403454e-05,0.01489441658,3.407462185e-13,0,0.001953492083,9.04747573e-14,0,0.1190033526,1.729902147e-12,0,-0.2259819538,0,nan,0,125.5455299,273.4265639,0.2154922084,19.62588419,nan,nan,-1,-1,-1,-1,-0.9999999044,0.046875,nan,-6.266814198e-07,1.128027381e-09,-0.001260565399,-0.001260566321,3.330669074e-15,7.637828095e-16,1.733724275e-12
4.731498354e-05,4.365749177e-06,-0.0001065154789,0.01496200413,3.021535942e-13,0,0.001973808061,6.717592675e-14,0,0.119501753,2.149629656e-12,0,-0.2253794693,0,nan,0,125.2108163,292.9570327,0.2149341181,19.5750563,nan,nan,-1,-1,-1,-1,-0.9999998776,0.046875,nan,-6.961055326e-07,1.252990171e-09,-0.001337099594,-0.001337099821,4.218847494e-15,1.031167262e-15,2.160049917e-12
5.168073271e-05,4.584036636e-06,-0.0001196783207,0.01503353118,5.927944688e-13,0,0.00199515278,1.425243654e-13,0,0.1200241027,3.196537204e-12,0,-0.2247419058,0,nan,0,124.8566143,215.0676629,0.2143436299,19.52127776,nan,nan,-1,-1,-1,-1,-0.9999998458,0.046875,nan,-7.734787188e-07,1.392260852e-09,-0.00141898575,-0.001418984893,5.551115123e-15,1.05270133e-15,3.211653166e-12
5.626476935e-05,4.813238467e-06,-0.0001335272301,0.01510924079,3.237243218e-13,0,0.002017577803,7.105420199e-14,0,0.1205714575,1.835993436e-12,0,-0.2240669878,0,nan,0,124.4816599,238.0414287,0.2137186505,19.46435796,nan,nan,-1,-1,-1,-1,-0.9999998085,0.046875,nan,-8.597491628e-07,1.547549953e-09,-0.00150667059,-0.001506672012,7.771561172e-15,1.392558387e-15,1.847411113e-12
6.107800782e-05,5.053900391e-06,-0.0001480987243,0.01518939104,8.804614496e-14,0,0.002041137072,2.309262352e-14,0,0.1211449047,4.263251489e-13,0,-0.2233522718,0,nan,0,124.0845954,119.5040026,0.2130569328,19.40409224,nan,nan,-1,-1,-1,-1,-0.9999997649,0.046875,nan,-9.559832249e-07,1.720768062e-09,-0.001600645005,-0.001600643384,8.215650382e-15,1.469342529e-15,4.263256415e-13
